BE-001	1	be-001-error-contract	Standardize backend API error responses with centralized ProblemDetail	-	Add handlers or overrides for validation, binding, unreadable body, and fallback exceptions; preserve domain exception semantics; add HTTP tests for invalid body, invalid query/path param, forbidden, not found, conflict, and unexpected server error.	Invalid request body returns consistent 400 shape; invalid query/path parameter returns same standard shape; forbidden/not found/conflict/unprocessable are consistent; unexpected server errors return sanitized 500 response.
BE-002	1	be-002-problem-detail-helper	Reduce duplicated ProblemDetail construction across exception classes	BE-001	Extract shared ProblemDetail construction logic and refactor existing exception types to use it without changing public behavior.	Existing exception types keep the same status and core fields; duplicate factory logic is materially reduced.
BE-003	1	be-003-typed-api-errors	Replace API-leaking IllegalArgumentException with typed domain/API exceptions	BE-001|BE-002	Audit service methods where IllegalArgumentException can propagate to HTTP and replace user-facing cases with typed exceptions.	Representative flows return intentional ProblemDetail responses; no user-facing business validation relies on raw IllegalArgumentException.
BE-019	1	be-019-error-contract-tests	Add HTTP contract tests for standardized backend error responses	BE-001	Add contract tests for validation, forbidden, not found, conflict, and unexpected server errors.	Contract tests fail on response-shape drift and cover representative entry points.
BE-004	2	be-004-actor-injection	Introduce Spring MVC actor injection to remove direct RequestScopes access from controllers	-	Implement ActorContext injection via Spring MVC and migrate a small pilot set of controllers.	Pilot controllers no longer call RequestScopes or ActorContext.fromRequestScopes() directly; behavior remains unchanged.
BE-005	2	be-005-thin-org-settings	Refactor org settings endpoints into thin controller plus service validation flow	BE-004	Remove repeated actor extraction and move logo validation out of the controller while keeping the endpoint contract unchanged.	Controller methods are limited to request parsing, service invocation, and response creation; file validation is not inline.
BE-006	2	be-006-thin-portal-auth	Move portal authentication orchestration out of controller	BE-004|BE-001	Create an application service for request-link and exchange flows; move tenant scoping and repository interactions out of the controller.	Each endpoint delegates to a single application service call; controller no longer binds tenant context directly.
BE-007	3	be-007-controller-assemblers	Remove repository-backed response enrichment from selected controllers	BE-004	Refactor billing rate and comment endpoints to use reusable response assemblers or application services for enrichment.	Controllers do not inject repositories for response enrichment; API payloads stay unchanged.
BE-008	3	be-008-no-controller-repos	Eliminate direct repository injection from non-dev controllers	BE-005|BE-006|BE-007	Audit non-dev controllers importing repositories and move repository usage into services or query layers.	Non-dev controllers no longer inject repositories directly, or any exceptions are explicitly documented.
BE-009	3	be-009-controller-dtos	Move large nested controller DTOs into dedicated request/response classes	-	Externalize the largest embedded DTO groups while preserving JSON and validation behavior.	Target controllers are materially shorter and behavior is unchanged.
BE-010	3	be-010-enum-actions	Replace string action parameters with enums and Spring validation	BE-001	Identify endpoints using action strings and replace manual string switching with enums and standard validation.	Invalid action values return the standard validation error contract.
BE-011	4	be-011-split-invoice-service	Decompose invoice service into focused collaborators	BE-001	Split invoice creation, mutation, transitions, integrations, rendering, validation, events, and query concerns into coherent collaborators.	Dependency count and class size are materially reduced while behavior is preserved.
BE-012	4	be-012-split-billing-run-service	Decompose billing run service into lifecycle selection and generation workflows	BE-011	Separate billing run lifecycle, entry selection, invoice generation, and post-processing into smaller workflow-oriented services.	Core workflows are isolated and the top-level service becomes orchestration-only or disappears.
BE-013	5	be-013-next-service-queue	Identify and plan the next oversized services for decomposition	BE-011|BE-012	Review remaining large services and produce a ranked queue with responsibility maps and extraction proposals.	A prioritized shortlist exists for the next five large services.
BE-014	5	be-014-domain-invariants	Move reusable business invariants out of controller or service branching	BE-011|BE-012	Extract stable rules and transitions into domain methods, policy classes, or rule components.	Representative domains have isolated rule logic with focused tests.
BE-015	5	be-015-central-validators	Centralize reusable validation logic for files ranges and action inputs	BE-001	Identify repeated validation logic and consolidate it into shared validators integrated with the API error contract.	At least three duplicated validation patterns are centralized.
BE-016	6	be-016-test-fixtures	Introduce tenant-aware test fixtures and helpers for backend integration tests	-	Add reusable helpers for tenant setup, actor context, and seeded entities for service and HTTP tests.	At least three representative test classes migrate to the new fixtures and repeated setup ceremony is reduced.
BE-017	6	be-017-test-taxonomy	Define and document backend test taxonomy and coupling rules	-	Write a concise backend testing guide that defines HTTP contract, service, repository, and cross-tenant/security test boundaries.	A concise testing guideline exists and is usable for new tests.
BE-018	6	be-018-decouple-tests	Reduce implementation coupling in selected backend integration tests	BE-016|BE-017	Refactor selected tests to rely more on fixtures and observable behavior and less on repositories, transactions, and raw scope plumbing.	Selected tests use less direct repository and scope plumbing while preserving coverage intent.
BE-020	7	be-020-arch-tests	Enforce backend architecture rules with automated tests	BE-008|BE-004|BE-001	Add architecture tests to enforce no repository injection in controllers, no raw scope access in controllers, and standard error-handling conventions.	Build fails on core architectural rule violations with limited false positives.
BE-021	7	be-021-size-guardrails	Add guardrails for oversized services and controllers	BE-011|BE-012	Define and enforce or report thresholds for class size and constructor dependency count.	Thresholds are documented and local or CI checks can flag new violations.
BE-022	7	be-022-contribution-checklist	Add backend contribution checklist for controller exception and test quality	BE-001|BE-004|BE-017	Document controller thinness, exception policy, and test coupling rules for future contributors.	A concise checklist exists and is easy to reference in reviews.
